,heartRate,thermal,user_id
2019-01-18 01:20:30.032000+08:00,,9,Raring Ringtail
2019-01-18 01:20:30.852000+08:00,,9,Raring Ringtail
2019-01-18 01:20:35.997999872+08:00,,9,Raring Ringtail
2019-01-18 02:01:11.255000064+08:00,,11,Raring Ringtail
2019-01-18 02:01:12.134000128+08:00,,11,Raring Ringtail
2019-01-20 20:12:06.824999936+08:00,,10,Raring Ringtail
2019-01-20 20:12:15.116000+08:00,,11,Raring Ringtail
2019-01-20 20:12:16.151000064+08:00,,10,Raring Ringtail
2019-01-20 20:42:40.808999936+08:00,,11,Raring Ringtail
2019-01-20 20:45:20.756999936+08:00,,11,Raring Ringtail
2019-01-20 20:47:15.188999936+08:00,,11,Raring Ringtail
2019-01-29 05:27:08.212000+08:00,,10,Raring Ringtail
2019-01-29 05:27:09.082000128+08:00,,11,Raring Ringtail
2019-01-29 05:27:37.769999872+08:00,,11,Raring Ringtail
2019-01-29 05:27:52.769999872+08:00,,10,Raring Ringtail
2019-01-29 05:28:44.303000064+08:00,,10,Raring Ringtail
2019-01-29 05:28:45.224000+08:00,,9,Raring Ringtail
2019-01-29 05:28:58.842000128+08:00,,9,Raring Ringtail
2019-01-29 05:28:58.845999872+08:00,,10,Raring Ringtail
2019-01-29 05:28:59.780999936+08:00,,9,Raring Ringtail
2019-01-29 05:33:18.436999936+08:00,,11,Raring Ringtail
2019-01-29 05:33:35.867000064+08:00,,11,Raring Ringtail
2019-01-29 05:34:51.842999808+08:00,,10,Raring Ringtail
2019-01-29 05:34:52.746000128+08:00,,10,Raring Ringtail
2019-01-29 05:35:20.878000128+08:00,,10,Raring Ringtail
2019-01-29 05:35:52.236000+08:00,,9,Raring Ringtail
2019-01-29 05:37:00.956000+08:00,,11,Raring Ringtail
2019-01-29 05:37:01.686000128+08:00,,11,Raring Ringtail
2019-01-29 05:37:48.527000064+08:00,,10,Raring Ringtail
2019-01-29 05:38:03.066999808+08:00,,10,Raring Ringtail
2019-01-29 05:38:03.326999808+08:00,,10,Raring Ringtail
2019-01-29 05:38:03.816000+08:00,,11,Raring Ringtail
2019-01-29 05:38:03.825999872+08:00,,11,Raring Ringtail
2019-01-29 05:38:03.840000+08:00,,10,Raring Ringtail
2019-01-29 05:48:09.048000+08:00,,9,Raring Ringtail
2019-01-29 05:53:10.038000128+08:00,,10,Raring Ringtail
2019-01-29 06:00:54.316000+08:00,,10,Raring Ringtail
2019-01-29 06:01:07.604999936+08:00,,11,Raring Ringtail
2019-01-29 06:01:58.148000+08:00,,10,Raring Ringtail
2019-01-29 06:01:58.960999936+08:00,,10,Raring Ringtail
2019-01-31 03:35:45.120999936+08:00,,11,Raring Ringtail
2019-01-31 03:35:45.508999936+08:00,,10,Raring Ringtail
2019-01-31 03:35:45.813999872+08:00,,11,Raring Ringtail
2019-01-31 03:35:46.089999872+08:00,,11,Raring Ringtail
2019-01-31 03:35:46.112999936+08:00,,10,Raring Ringtail
2019-01-31 03:35:46.452000+08:00,,9,Raring Ringtail
2019-02-11 04:45:52.990000128+08:00,,10,Raring Ringtail
2019-02-11 04:45:58.632999936+08:00,,10,Raring Ringtail
2019-02-11 04:50:16.408999936+08:00,,10,Raring Ringtail
2019-02-11 04:56:24.767000064+08:00,,10,Raring Ringtail
2019-02-11 05:05:09.634000128+08:00,,10,Raring Ringtail
2019-02-11 05:10:22.984000+08:00,,10,Raring Ringtail
2019-02-11 05:20:10.884000+08:00,,10,Raring Ringtail
2019-02-11 05:30:03.592000+08:00,,10,Raring Ringtail
2019-02-11 05:30:04.467000064+08:00,,10,Raring Ringtail
2019-02-11 05:35:35.636000+08:00,,10,Raring Ringtail
2019-02-11 05:40:34.435000064+08:00,,9,Raring Ringtail
2019-02-11 05:50:09.710000128+08:00,,10,Raring Ringtail
2019-02-11 06:10:25.412000+08:00,,10,Raring Ringtail
2019-02-11 06:15:03.482000128+08:00,,10,Raring Ringtail
2019-02-11 06:25:08.808000+08:00,,10,Raring Ringtail
2019-02-11 06:25:49.364000+08:00,,10,Raring Ringtail
2019-02-11 06:36:09.088000+08:00,,10,Raring Ringtail
2019-02-11 06:44:07.825999872+08:00,,10,Raring Ringtail
2019-02-11 07:07:02.731000064+08:00,,10,Raring Ringtail
2019-02-11 07:07:08.260000+08:00,,11,Raring Ringtail
2019-02-11 07:07:09.072999936+08:00,,10,Raring Ringtail
2019-02-11 07:07:09.101000192+08:00,,10,Raring Ringtail
2019-02-11 07:07:09.124000+08:00,,10,Raring Ringtail
2019-02-12 20:24:32.530999808+08:00,,10,Raring Ringtail
2019-02-12 20:24:32.536999936+08:00,,9,Raring Ringtail
2019-02-12 20:24:32.542000128+08:00,,9,Raring Ringtail
2019-02-12 20:24:32.546000128+08:00,,9,Raring Ringtail
2019-02-12 20:24:32.558000128+08:00,,10,Raring Ringtail
2019-02-12 20:24:33.910000128+08:00,,9,Raring Ringtail
2019-02-12 20:24:33.916999936+08:00,,9,Raring Ringtail
2019-02-12 20:24:33.920999936+08:00,,9,Raring Ringtail
2019-02-12 20:24:33.924999936+08:00,,9,Raring Ringtail
2019-02-12 20:24:35.694999808+08:00,,10,Raring Ringtail
2019-02-12 20:24:35.698999808+08:00,,10,Raring Ringtail
2019-02-12 20:24:35.704999936+08:00,,9,Raring Ringtail
2019-02-12 20:24:35.708000+08:00,,9,Raring Ringtail
